127.0.0.1 - - [04/Dec/2019:18:14:21 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:14:21 +0530] "GET /BookStore/book.jsp HTTP/1.1" 500 3104
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:14:22 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:15:49 +0530] "GET /BookStore/book.jsp HTTP/1.1" 500 3104
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:19:33 +0530] "GET /BookStore/book.jsp HTTP/1.1" 500 3104
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:27:34 +0530] "GET /BookStore/book.jsp HTTP/1.1" 500 3104
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:30:48 +0530] "GET /BookStore/book.jsp HTTP/1.1" 500 3104
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:33:54 +0530] "GET /BookStore/book.jsp HTTP/1.1" 500 3104
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:33:57 +0530] "GET /BookStore/book.jsp HTTP/1.1" 500 2523
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:34:56 +0530] "GET /BookStore/book.jsp HTTP/1.1" 500 3104
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:36:17 +0530] "GET /BookStore/book.jsp HTTP/1.1" 500 3104
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:38:22 +0530] "GET /BookStore/book.jsp HTTP/1.1" 500 3104
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:48:30 +0530] "GET /BookStore/home.jsp HTTP/1.1" 200 10564
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:48:30 +0530] "GET /BookStore/vendor/magnific-popup/magnific-popup.css HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:48:30 +0530] "GET /BookStore/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 404 1139
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:48:30 +0530] "GET /BookStore/css/creative.min.css HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:48:30 +0530] "GET /BookStore/img/portfolio/thumbnails/2.jpg HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:48:30 +0530] "GET /BookStore/img/portfolio/thumbnails/1.jpg HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:48:30 +0530] "GET /BookStore/vendor/jquery/jquery.min.js HTTP/1.1" 404 1123
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:48:30 +0530] "GET /BookStore/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 404 1143
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:48:30 +0530] "GET /BookStore/img/portfolio/thumbnails/3.jpg HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:48:30 +0530] "GET /BookStore/vendor/magnific-popup/jquery.magnific-popup.min.js HTTP/1.1" 404 1146
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:48:30 +0530] "GET /BookStore/js/creative.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:48:30 +0530] "GET /BookStore/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 404 1137
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:48:31 +0530] "GET /BookStore/img/portfolio/thumbnails/5.jpg HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:48:31 +0530] "GET /BookStore/img/portfolio/thumbnails/4.jpg HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:48:31 +0530] "GET /BookStore/img/portfolio/thumbnails/6.jpg HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:48:31 +0530] "GET /BookStore/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 404 1143
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:48:31 +0530] "GET /BookStore/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 404 1137
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:48:31 +0530] "GET /BookStore/vendor/magnific-popup/jquery.magnific-popup.min.js HTTP/1.1" 404 1146
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:48:31 +0530] "GET /BookStore/js/creative.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:50:14 +0530] "GET /BookStore/home.jsp HTTP/1.1" 200 10480
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:50:14 +0530] "GET /BookStore/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 404 1139
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:50:14 +0530] "GET /BookStore/vendor/magnific-popup/magnific-popup.css HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [04/Dec/2019:18:50:14 +0530] "GET /BookStore/css/creative.min.css HTTP/1.1" 404 1112
